"","X","Time..rel.ms.","Date","Time","Type","No.","Phase","Day","duration","Channel","F","Fm","PAR","Y.II.","ETR","Column","System","Block","Velocity","Salinity","Temperature","treatments","surf_area"
"1",1,270452880,"2022-03-23T23:00:00Z","1899-12-31T15:08:32Z","FO",394,"stress",1,1,"C01",381,890,"0",0.572,"0.0",33,"IMP","B1","reduced","background","increased","RBI",16.8
"2",2,270460100,"2022-03-23T23:00:00Z","1899-12-31T15:08:40Z","FO",395,"stress",1,1,"C01",432,937,"0",0.539,"0.0",33,"IMP","B1","reduced","background","increased","RBI",16.8
"3",3,270464940,"2022-03-23T23:00:00Z","1899-12-31T15:08:44Z","FO",396,"stress",1,1,"C01",256,623,"0",0.589,"0.0",33,"IMP","B1","reduced","background","increased","RBI",16.8
"4",4,270472820,"2022-03-23T23:00:00Z","1899-12-31T15:08:52Z","FO",397,"stress",1,1,"C01",331,1255,"0",0.736,"0.0",33,"IMP","B1","reduced","background","increased","RBI",16.8
"5",5,270494220,"2022-03-23T23:00:00Z","1899-12-31T15:09:14Z","FO",399,"stress",1,1,"C02",334,955,"0",0.65,"0.0",34,"IMP","B1","reduced","salt","increased","RSI",15.96
"6",6,270499360,"2022-03-23T23:00:00Z","1899-12-31T15:09:19Z","FO",400,"stress",1,1,"C02",346,819,"0",0.578,"0.0",34,"IMP","B1","reduced","salt","increased","RSI",15.96
"7",7,270505560,"2022-03-23T23:00:00Z","1899-12-31T15:09:25Z","FO",401,"stress",1,1,"C02",166,363,"0",0.543,"0.0",34,"IMP","B1","reduced","salt","increased","RSI",15.96
"8",8,270512460,"2022-03-23T23:00:00Z","1899-12-31T15:09:32Z","FO",402,"stress",1,1,"C02",691,1145,"0",0.397,"0.0",34,"IMP","B1","reduced","salt","increased","RSI",15.96
"9",9,270528560,"2022-03-23T23:00:00Z","1899-12-31T15:09:48Z","FO",404,"stress",1,1,"C03",594,1220,"0",0.513,"0.0",35,"IMP","B1","reduced","salt","increased","RSI",14.04
"10",10,270533640,"2022-03-23T23:00:00Z","1899-12-31T15:09:53Z","FO",405,"stress",1,1,"C03",546,1154,"0",0.527,"0.0",35,"IMP","B1","reduced","salt","increased","RSI",14.04
"11",11,270538060,"2022-03-23T23:00:00Z","1899-12-31T15:09:58Z","FO",406,"stress",1,1,"C03",153,386,"0",0.604,"0.0",35,"IMP","B1","reduced","salt","increased","RSI",14.04
"12",12,270546560,"2022-03-23T23:00:00Z","1899-12-31T15:10:06Z","FO",407,"stress",1,1,"C03",844,879,"0",0.04,"0.0",35,"IMP","B1","reduced","salt","increased","RSI",14.04
"13",13,270582580,"2022-03-23T23:00:00Z","1899-12-31T15:10:42Z","FO",409,"stress",1,1,"C04",679,1379,"0",0.508,"0.0",36,"IMP","B1","normal","background","increased","NBI",17.1
"14",14,270588460,"2022-03-23T23:00:00Z","1899-12-31T15:10:48Z","FO",410,"stress",1,1,"C04",431,1125,"0",0.617,"0.0",36,"IMP","B1","normal","background","increased","NBI",17.1
"15",15,270593880,"2022-03-23T23:00:00Z","1899-12-31T15:10:53Z","FO",411,"stress",1,1,"C04",182,533,"0",0.659,"0.0",36,"IMP","B1","normal","background","increased","NBI",17.1
"16",16,270602460,"2022-03-23T23:00:00Z","1899-12-31T15:11:02Z","FO",412,"stress",1,1,"C04",313,742,"0",0.578,"0.0",36,"IMP","B1","normal","background","increased","NBI",17.1
"17",17,270623380,"2022-03-23T23:00:00Z","1899-12-31T15:11:23Z","FO",414,"stress",1,1,"C05",436,932,"0",0.532,"0.0",1,"IMP","B1","normal","background","increased","NBI",18
"18",18,270628900,"2022-03-23T23:00:00Z","1899-12-31T15:11:28Z","FO",415,"stress",1,1,"C05",303,1162,"0",0.739,"0.0",1,"IMP","B1","normal","background","increased","NBI",18
"19",19,270636140,"2022-03-23T23:00:00Z","1899-12-31T15:11:36Z","FO",416,"stress",1,1,"C05",307,522,"0",0.412,"0.0",1,"IMP","B1","normal","background","increased","NBI",18
"20",20,270646360,"2022-03-23T23:00:00Z","1899-12-31T15:11:46Z","FO",417,"stress",1,1,"C05",157,411,"0",0.618,"0.0",1,"IMP","B1","normal","background","increased","NBI",18
"21",21,270665440,"2022-03-23T23:00:00Z","1899-12-31T15:12:05Z","FO",419,"stress",1,1,"C06",612,1303,"0",0.53,"0.0",2,"IMP","B1","reduced","background","increased","RBI",15.75
"22",22,270672360,"2022-03-23T23:00:00Z","1899-12-31T15:12:12Z","FO",420,"stress",1,1,"C06",640,1144,"0",0.441,"0.0",2,"IMP","B1","reduced","background","increased","RBI",15.75
"23",23,270679660,"2022-03-23T23:00:00Z","1899-12-31T15:12:19Z","FO",421,"stress",1,1,"C06",135,331,"0",0.592,"0.0",2,"IMP","B1","reduced","background","increased","RBI",15.75
"24",24,270687880,"2022-03-23T23:00:00Z","1899-12-31T15:12:27Z","FO",422,"stress",1,1,"C06",276,631,"0",0.563,"0.0",2,"IMP","B1","reduced","background","increased","RBI",15.75
"25",25,270702260,"2022-03-23T23:00:00Z","1899-12-31T15:12:42Z","FO",424,"stress",1,1,"C07",586,1452,"0",0.596,"0.0",3,"IMP","B1","normal","background","increased","NBI",18
"26",26,270707740,"2022-03-23T23:00:00Z","1899-12-31T15:12:47Z","FO",425,"stress",1,1,"C07",351,640,"0",0.452,"0.0",3,"IMP","B1","normal","background","increased","NBI",18
"27",27,270712880,"2022-03-23T23:00:00Z","1899-12-31T15:12:52Z","FO",426,"stress",1,1,"C07",136,258,"0",0.473,"0.0",3,"IMP","B1","normal","background","increased","NBI",18
"28",28,270719860,"2022-03-23T23:00:00Z","1899-12-31T15:12:59Z","FO",427,"stress",1,1,"C07",621,980,"0",0.366,"0.0",3,"IMP","B1","normal","background","increased","NBI",18
"29",29,270741800,"2022-03-23T23:00:00Z","1899-12-31T15:13:21Z","FO",429,"stress",1,1,"C08",532,1190,"0",0.553,"0.0",4,"IMP","B1","reduced","salt","increased","RSI",13.5
"30",30,270747920,"2022-03-23T23:00:00Z","1899-12-31T15:13:27Z","FO",430,"stress",1,1,"C08",424,1129,"0",0.624,"0.0",4,"IMP","B1","reduced","salt","increased","RSI",13.5
"31",31,270757060,"2022-03-23T23:00:00Z","1899-12-31T15:13:37Z","FO",431,"stress",1,1,"C08",190,668,"0",0.716,"0.0",4,"IMP","B1","reduced","salt","increased","RSI",13.5
"32",32,270763660,"2022-03-23T23:00:00Z","1899-12-31T15:13:43Z","FO",432,"stress",1,1,"C08",705,987,"0",0.286,"0.0",4,"IMP","B1","reduced","salt","increased","RSI",13.5
"33",33,270820880,"2022-03-23T23:00:00Z","1899-12-31T15:14:40Z","FO",434,"stress",1,1,"C09",554,992,"0",0.442,"0.0",37,"IMP","B1","normal","background","increased","NBI",16
"34",34,270826440,"2022-03-23T23:00:00Z","1899-12-31T15:14:46Z","FO",435,"stress",1,1,"C09",470,1008,"0",0.534,"0.0",37,"IMP","B1","normal","background","increased","NBI",16
"35",35,270833140,"2022-03-23T23:00:00Z","1899-12-31T15:14:53Z","FO",436,"stress",1,1,"C09",622,1255,"0",0.504,"0.0",37,"IMP","B1","normal","background","increased","NBI",16
"36",36,270839920,"2022-03-23T23:00:00Z","1899-12-31T15:14:59Z","FO",437,"stress",1,1,"C09",318,436,"0",0.271,"0.0",37,"IMP","B1","normal","background","increased","NBI",16
"37",37,270854040,"2022-03-23T23:00:00Z","1899-12-31T15:15:14Z","FO",439,"stress",1,1,"C10",642,1614,"0",0.602,"0.0",5,"IMP","B1","reduced","background","increased","RBI",13.5
"38",38,270862560,"2022-03-23T23:00:00Z","1899-12-31T15:15:22Z","FO",440,"stress",1,1,"C10",593,1169,"0",0.493,"0.0",5,"IMP","B1","reduced","background","increased","RBI",13.5
"39",39,270869260,"2022-03-23T23:00:00Z","1899-12-31T15:15:29Z","FO",441,"stress",1,1,"C10",560,913,"0",0.387,"0.0",5,"IMP","B1","reduced","background","increased","RBI",13.5
"40",40,270876800,"2022-03-23T23:00:00Z","1899-12-31T15:15:36Z","FO",442,"stress",1,1,"C10",367,1092,"0",0.664,"0.0",5,"IMP","B1","reduced","background","increased","RBI",13.5
"41",41,270889800,"2022-03-23T23:00:00Z","1899-12-31T15:15:49Z","FO",444,"stress",1,1,"C11",799,1798,"0",0.556,"0.0",6,"IMP","B1","reduced","salt","increased","RSI",20
"42",42,270896720,"2022-03-23T23:00:00Z","1899-12-31T15:15:56Z","FO",445,"stress",1,1,"C11",296,855,"0",0.654,"0.0",6,"IMP","B1","reduced","salt","increased","RSI",20
"43",43,270902320,"2022-03-23T23:00:00Z","1899-12-31T15:16:02Z","FO",446,"stress",1,1,"C11",186,509,"0",0.635,"0.0",6,"IMP","B1","reduced","salt","increased","RSI",20
"44",44,270909740,"2022-03-23T23:00:00Z","1899-12-31T15:16:09Z","FO",447,"stress",1,1,"C11",254,504,"0",0.496,"0.0",6,"IMP","B1","reduced","salt","increased","RSI",20
"45",45,270919080,"2022-03-23T23:00:00Z","1899-12-31T15:16:19Z","FO",449,"stress",1,1,"C12",215,478,"0",0.55,"0.0",38,"IMP","B1","reduced","background","increased","RBI",12.54
"46",46,270932680,"2022-03-23T23:00:00Z","1899-12-31T15:16:32Z","FO",450,"stress",1,1,"C12",317,861,"0",0.632,"0.0",38,"IMP","B1","reduced","background","increased","RBI",12.54
"47",47,270940700,"2022-03-23T23:00:00Z","1899-12-31T15:16:40Z","FO",451,"stress",1,1,"C12",130,324,"0",0.599,"0.0",38,"IMP","B1","reduced","background","increased","RBI",12.54
"48",48,270949320,"2022-03-23T23:00:00Z","1899-12-31T15:16:49Z","FO",452,"stress",1,1,"C12",170,424,"0",0.599,"0.0",38,"IMP","B1","reduced","background","increased","RBI",12.54
"49",49,270962140,"2022-03-23T23:00:00Z","1899-12-31T15:17:02Z","FO",454,"stress",1,1,"C13",524,1048,"0",0.5,"0.0",7,"IMP","B1","normal","salt","increased","NSI",24
"50",50,270969180,"2022-03-23T23:00:00Z","1899-12-31T15:17:09Z","FO",455,"stress",1,1,"C13",557,1063,"0",0.476,"0.0",7,"IMP","B1","normal","salt","increased","NSI",24
"51",51,270979320,"2022-03-23T23:00:00Z","1899-12-31T15:17:19Z","FO",456,"stress",1,1,"C13",214,278,"0",0.23,"0.0",7,"IMP","B1","normal","salt","increased","NSI",24
"52",52,270986440,"2022-03-23T23:00:00Z","1899-12-31T15:17:26Z","FO",457,"stress",1,1,"C13",358,733,"0",0.512,"0.0",7,"IMP","B1","normal","salt","increased","NSI",24
"53",53,271004640,"2022-03-23T23:00:00Z","1899-12-31T15:17:44Z","FO",459,"stress",1,1,"C14",373,1103,"0",0.662,"0.0",39,"IMP","B1","normal","salt","increased","NSI",11.88
"54",54,271011440,"2022-03-23T23:00:00Z","1899-12-31T15:17:51Z","FO",460,"stress",1,1,"C14",460,999,"0",0.54,"0.0",39,"IMP","B1","normal","salt","increased","NSI",11.88
"55",55,271017840,"2022-03-23T23:00:00Z","1899-12-31T15:17:57Z","FO",461,"stress",1,1,"C14",395,1042,"0",0.621,"0.0",39,"IMP","B1","normal","salt","increased","NSI",11.88
"56",56,271024700,"2022-03-23T23:00:00Z","1899-12-31T15:18:04Z","FO",462,"stress",1,1,"C14",183,434,"0",0.578,"0.0",39,"IMP","B1","normal","salt","increased","NSI",11.88
"57",57,271040280,"2022-03-23T23:00:00Z","1899-12-31T15:18:20Z","FO",464,"stress",1,1,"C15",300,655,"0",0.542,"0.0",8,"IMP","B1","normal","salt","increased","NSI",28
"58",58,271046220,"2022-03-23T23:00:00Z","1899-12-31T15:18:26Z","FO",465,"stress",1,1,"C15",393,669,"0",0.413,"0.0",8,"IMP","B1","normal","salt","increased","NSI",28
"59",59,271050160,"2022-03-23T23:00:00Z","1899-12-31T15:18:30Z","FO",466,"stress",1,1,"C15",265,520,"0",0.49,"0.0",8,"IMP","B1","normal","salt","increased","NSI",28
"60",60,271057720,"2022-03-23T23:00:00Z","1899-12-31T15:18:37Z","FO",467,"stress",1,1,"C15",247,543,"0",0.545,"0.0",8,"IMP","B1","normal","salt","increased","NSI",28
"61",61,271069540,"2022-03-23T23:00:00Z","1899-12-31T15:18:49Z","FO",469,"stress",1,1,"C16",329,886,"0",0.629,"0.0",40,"IMP","B1","normal","salt","increased","NSI",15.99
"62",62,271074680,"2022-03-23T23:00:00Z","1899-12-31T15:18:54Z","FO",470,"stress",1,1,"C16",351,968,"0",0.637,"0.0",40,"IMP","B1","normal","salt","increased","NSI",15.99
"63",63,271081340,"2022-03-23T23:00:00Z","1899-12-31T15:19:01Z","FO",471,"stress",1,1,"C16",306,726,"0",0.579,"0.0",40,"IMP","B1","normal","salt","increased","NSI",15.99
"64",64,271095060,"2022-03-23T23:00:00Z","1899-12-31T15:19:15Z","FO",472,"stress",1,1,"C16",139,432,"0",0.678,"0.0",40,"IMP","B1","normal","salt","increased","NSI",15.99
"65",65,271113220,"2022-03-23T23:00:00Z","1899-12-31T15:19:33Z","FO",476,"stress",1,1,"C17",433,1042,"0",0.584,"0.0",9,"IMP","B2","reduced","salt","control","RSC",20
"66",66,271119000,"2022-03-23T23:00:00Z","1899-12-31T15:19:39Z","FO",477,"stress",1,1,"C17",171,372,"0",0.54,"0.0",9,"IMP","B2","reduced","salt","control","RSC",20
"67",67,271126940,"2022-03-23T23:00:00Z","1899-12-31T15:19:46Z","FO",478,"stress",1,1,"C17",218,870,"0",0.749,"0.0",9,"IMP","B2","reduced","salt","control","RSC",20
"68",68,271134920,"2022-03-23T23:00:00Z","1899-12-31T15:19:54Z","FO",479,"stress",1,1,"C17",703,1158,"0",0.393,"0.0",9,"IMP","B2","reduced","salt","control","RSC",20
"69",69,271150580,"2022-03-23T23:00:00Z","1899-12-31T15:20:10Z","FO",481,"stress",1,1,"C18",560,1650,"0",0.661,"0.0",41,"IMP","B2","normal","background","control","NBC",12.09
"70",70,271156420,"2022-03-23T23:00:00Z","1899-12-31T15:20:16Z","FO",482,"stress",1,1,"C18",511,1234,"0",0.586,"0.0",41,"IMP","B2","normal","background","control","NBC",12.09
"71",71,271163120,"2022-03-23T23:00:00Z","1899-12-31T15:20:23Z","FO",483,"stress",1,1,"C18",299,875,"0",0.658,"0.0",41,"IMP","B2","normal","background","control","NBC",12.09
"72",72,271170720,"2022-03-23T23:00:00Z","1899-12-31T15:20:30Z","FO",484,"stress",1,1,"C18",291,745,"0",0.609,"0.0",41,"IMP","B2","normal","background","control","NBC",12.09
"73",73,271185180,"2022-03-23T23:00:00Z","1899-12-31T15:20:45Z","FO",486,"stress",1,1,"C19",783,2096,"0",0.626,"0.0",42,"IMP","B2","normal","background","control","NBC",15.6
"74",74,271191640,"2022-03-23T23:00:00Z","1899-12-31T15:20:51Z","FO",487,"stress",1,1,"C19",327,605,"0",0.46,"0.0",42,"IMP","B2","normal","background","control","NBC",15.6
"75",75,271198060,"2022-03-23T23:00:00Z","1899-12-31T15:20:58Z","FO",488,"stress",1,1,"C19",153,523,"0",0.707,"0.0",42,"IMP","B2","normal","background","control","NBC",15.6
"76",76,271206920,"2022-03-23T23:00:00Z","1899-12-31T15:21:06Z","FO",489,"stress",1,1,"C19",255,783,"0",0.674,"0.0",42,"IMP","B2","normal","background","control","NBC",15.6
"77",77,271223620,"2022-03-23T23:00:00Z","1899-12-31T15:21:23Z","FO",491,"stress",1,1,"C20",693,1679,"0",0.587,"0.0",43,"IMP","B2","reduced","salt","control","RSC",13.3
"78",78,271246800,"2022-03-23T23:00:00Z","1899-12-31T15:21:46Z","FO",492,"stress",1,1,"C20",169,477,"0",0.646,"0.0",43,"IMP","B2","reduced","salt","control","RSC",13.3
"79",79,271258700,"2022-03-23T23:00:00Z","1899-12-31T15:21:58Z","FO",493,"stress",1,1,"C20",447,1198,"0",0.627,"0.0",43,"IMP","B2","reduced","salt","control","RSC",13.3
"80",80,271265840,"2022-03-23T23:00:00Z","1899-12-31T15:22:05Z","FO",494,"stress",1,1,"C20",184,778,"0",0.763,"0.0",43,"IMP","B2","reduced","salt","control","RSC",13.3
"81",81,271279820,"2022-03-23T23:00:00Z","1899-12-31T15:22:19Z","FO",496,"stress",1,1,"C21",518,1231,"0",0.579,"0.0",10,"IMP","B2","normal","background","control","NBC",19.2
"82",82,271285660,"2022-03-23T23:00:00Z","1899-12-31T15:22:25Z","FO",497,"stress",1,1,"C21",429,1149,"0",0.627,"0.0",10,"IMP","B2","normal","background","control","NBC",19.2
"83",83,271295160,"2022-03-23T23:00:00Z","1899-12-31T15:22:35Z","FO",498,"stress",1,1,"C21",244,828,"0",0.705,"0.0",10,"IMP","B2","normal","background","control","NBC",19.2
"84",84,271301780,"2022-03-23T23:00:00Z","1899-12-31T15:22:41Z","FO",499,"stress",1,1,"C21",450,661,"0",0.319,"0.0",10,"IMP","B2","normal","background","control","NBC",19.2
"85",85,271315240,"2022-03-23T23:00:00Z","1899-12-31T15:22:55Z","FO",502,"stress",1,1,"C22",802,1807,"0",0.556,"0.0",44,"IMP","B2","reduced","background","control","RBC",14.62
"86",86,271321120,"2022-03-23T23:00:00Z","1899-12-31T15:23:01Z","FO",503,"stress",1,1,"C22",359,994,"0",0.639,"0.0",44,"IMP","B2","reduced","background","control","RBC",14.62
"87",87,271334980,"2022-03-23T23:00:00Z","1899-12-31T15:23:14Z","FO",504,"stress",1,1,"C22",511,1196,"0",0.573,"0.0",44,"IMP","B2","reduced","background","control","RBC",14.62
"88",88,271343340,"2022-03-23T23:00:00Z","1899-12-31T15:23:23Z","FO",505,"stress",1,1,"C22",502,951,"0",0.472,"0.0",44,"IMP","B2","reduced","background","control","RBC",14.62
"89",89,271357920,"2022-03-23T23:00:00Z","1899-12-31T15:23:37Z","FO",507,"stress",1,1,"C23",1014,2216,"0",0.542,"0.0",11,"IMP","B2","normal","background","control","NBC",25
"90",90,271363060,"2022-03-23T23:00:00Z","1899-12-31T15:23:43Z","FO",508,"stress",1,1,"C23",278,603,"0",0.539,"0.0",11,"IMP","B2","normal","background","control","NBC",25
"91",91,271375600,"2022-03-23T23:00:00Z","1899-12-31T15:23:55Z","FO",509,"stress",1,1,"C23",207,566,"0",0.634,"0.0",11,"IMP","B2","normal","background","control","NBC",25
"92",92,271385060,"2022-03-23T23:00:00Z","1899-12-31T15:24:05Z","FO",510,"stress",1,1,"C23",385,924,"0",0.583,"0.0",11,"IMP","B2","normal","background","control","NBC",25
"93",93,271404340,"2022-03-23T23:00:00Z","1899-12-31T15:24:24Z","FO",512,"stress",1,1,"C24",429,964,"0",0.555,"0.0",12,"IMP","B2","reduced","salt","control","RSC",20
"94",94,271411060,"2022-03-23T23:00:00Z","1899-12-31T15:24:31Z","FO",513,"stress",1,1,"C24",202,505,"0",0.6,"0.0",12,"IMP","B2","reduced","salt","control","RSC",20
"95",95,271418500,"2022-03-23T23:00:00Z","1899-12-31T15:24:38Z","FO",514,"stress",1,1,"C24",217,341,"0",0.364,"0.0",12,"IMP","B2","reduced","salt","control","RSC",20
"96",96,271430620,"2022-03-23T23:00:00Z","1899-12-31T15:24:50Z","FO",515,"stress",1,1,"C24",186,422,"0",0.559,"0.0",12,"IMP","B2","reduced","salt","control","RSC",20
"97",97,271459500,"2022-03-23T23:00:00Z","1899-12-31T15:25:19Z","FO",518,"stress",1,1,"C25",527,1469,"0",0.641,"0.0",13,"IMP","B2","normal","salt","control","NSC",14
"98",98,271465920,"2022-03-23T23:00:00Z","1899-12-31T15:25:25Z","FO",519,"stress",1,1,"C25",563,1034,"0",0.456,"0.0",13,"IMP","B2","normal","salt","control","NSC",14
"99",99,271472660,"2022-03-23T23:00:00Z","1899-12-31T15:25:32Z","FO",520,"stress",1,1,"C25",494,1132,"0",0.564,"0.0",13,"IMP","B2","normal","salt","control","NSC",14
"100",100,271482420,"2022-03-23T23:00:00Z","1899-12-31T15:25:42Z","FO",521,"stress",1,1,"C25",230,474,"0",0.515,"0.0",13,"IMP","B2","normal","salt","control","NSC",14
"101",101,271496200,"2022-03-23T23:00:00Z","1899-12-31T15:25:56Z","FO",523,"stress",1,1,"C26",466,1098,"0",0.576,"0.0",14,"IMP","B2","normal","salt","control","NSC",20
"102",102,271502860,"2022-03-23T23:00:00Z","1899-12-31T15:26:02Z","FO",524,"stress",1,1,"C26",580,1286,"0",0.549,"0.0",14,"IMP","B2","normal","salt","control","NSC",20
"103",103,271508620,"2022-03-23T23:00:00Z","1899-12-31T15:26:08Z","FO",525,"stress",1,1,"C26",410,786,"0",0.478,"0.0",14,"IMP","B2","normal","salt","control","NSC",20
"104",104,271515760,"2022-03-23T23:00:00Z","1899-12-31T15:26:15Z","FO",526,"stress",1,1,"C26",178,876,"0",0.797,"0.0",14,"IMP","B2","normal","salt","control","NSC",20
"105",105,271531220,"2022-03-23T23:00:00Z","1899-12-31T15:26:31Z","FO",528,"stress",1,1,"C27",426,1071,"0",0.602,"0.0",45,"IMP","B2","normal","salt","control","NSC",12.6
"106",106,271537280,"2022-03-23T23:00:00Z","1899-12-31T15:26:37Z","FO",529,"stress",1,1,"C27",572,1390,"0",0.588,"0.0",45,"IMP","B2","normal","salt","control","NSC",12.6
"107",107,271544560,"2022-03-23T23:00:00Z","1899-12-31T15:26:44Z","FO",530,"stress",1,1,"C27",455,1103,"0",0.587,"0.0",45,"IMP","B2","normal","salt","control","NSC",12.6
"108",108,271559940,"2022-03-23T23:00:00Z","1899-12-31T15:26:59Z","FO",531,"stress",1,1,"C27",336,1048,"0",0.679,"0.0",45,"IMP","B2","normal","salt","control","NSC",12.6
"109",109,271586280,"2022-03-23T23:00:00Z","1899-12-31T15:27:26Z","FO",534,"stress",1,1,"C28",253,480,"0",0.473,"0.0",15,"IMP","B2","reduced","background","control","RBC",20
"110",110,271593720,"2022-03-23T23:00:00Z","1899-12-31T15:27:33Z","FO",535,"stress",1,1,"C28",212,577,"0",0.633,"0.0",15,"IMP","B2","reduced","background","control","RBC",20
"111",111,271599740,"2022-03-23T23:00:00Z","1899-12-31T15:27:39Z","FO",536,"stress",1,1,"C28",241,644,"0",0.626,"0.0",15,"IMP","B2","reduced","background","control","RBC",20
"112",112,271606440,"2022-03-23T23:00:00Z","1899-12-31T15:27:46Z","FO",537,"stress",1,1,"C28",107,224,"0",0.522,"0.0",15,"IMP","B2","reduced","background","control","RBC",20
"113",113,271620200,"2022-03-23T23:00:00Z","1899-12-31T15:28:00Z","FO",539,"stress",1,1,"C29",387,1026,"0",0.623,"0.0",46,"IMP","B2","reduced","background","control","RBC",12.48
"114",114,271628680,"2022-03-23T23:00:00Z","1899-12-31T15:28:08Z","FO",540,"stress",1,1,"C29",168,547,"0",0.693,"0.0",46,"IMP","B2","reduced","background","control","RBC",12.48
"115",115,271635100,"2022-03-23T23:00:00Z","1899-12-31T15:28:15Z","FO",541,"stress",1,1,"C29",240,670,"0",0.642,"0.0",46,"IMP","B2","reduced","background","control","RBC",12.48
"116",116,271642680,"2022-03-23T23:00:00Z","1899-12-31T15:28:22Z","FO",542,"stress",1,1,"C29",140,383,"0",0.634,"0.0",46,"IMP","B2","reduced","background","control","RBC",12.48
"117",117,271658200,"2022-03-23T23:00:00Z","1899-12-31T15:28:38Z","FO",544,"stress",1,1,"C30",459,1135,"0",0.596,"0.0",16,"IMP","B2","reduced","background","control","RBC",18
"118",118,271664680,"2022-03-23T23:00:00Z","1899-12-31T15:28:44Z","FO",545,"stress",1,1,"C30",282,1033,"0",0.727,"0.0",16,"IMP","B2","reduced","background","control","RBC",18
"119",119,271672760,"2022-03-23T23:00:00Z","1899-12-31T15:28:52Z","FO",546,"stress",1,1,"C30",292,771,"0",0.621,"0.0",16,"IMP","B2","reduced","background","control","RBC",18
"120",120,271679820,"2022-03-23T23:00:00Z","1899-12-31T15:28:59Z","FO",547,"stress",1,1,"C30",228,304,"0",0.25,"0.0",16,"IMP","B2","reduced","background","control","RBC",18
"121",121,271692280,"2022-03-23T23:00:00Z","1899-12-31T15:29:12Z","FO",549,"stress",1,1,"C31",540,1411,"0",0.617,"0.0",47,"IMP","B2","normal","salt","control","NSC",12.6
"122",122,271700700,"2022-03-23T23:00:00Z","1899-12-31T15:29:20Z","FO",550,"stress",1,1,"C31",406,1110,"0",0.634,"0.0",47,"IMP","B2","normal","salt","control","NSC",12.6
"123",123,271707460,"2022-03-23T23:00:00Z","1899-12-31T15:29:27Z","FO",551,"stress",1,1,"C31",330,1099,"0",0.7,"0.0",47,"IMP","B2","normal","salt","control","NSC",12.6
"124",124,271716860,"2022-03-23T23:00:00Z","1899-12-31T15:29:36Z","FO",552,"stress",1,1,"C31",310,753,"0",0.588,"0.0",47,"IMP","B2","normal","salt","control","NSC",12.6
"125",125,271728980,"2022-03-23T23:00:00Z","1899-12-31T15:29:48Z","FO",555,"stress",1,1,"C32",441,1923,"0",0.771,"0.0",48,"IMP","B2","reduced","salt","control","RSC",12.54
"126",126,271739720,"2022-03-23T23:00:00Z","1899-12-31T15:29:59Z","FO",556,"stress",1,1,"C32",395,682,"0",0.421,"0.0",48,"IMP","B2","reduced","salt","control","RSC",12.54
"127",127,271746780,"2022-03-23T23:00:00Z","1899-12-31T15:30:06Z","FO",557,"stress",1,1,"C32",190,620,"0",0.694,"0.0",48,"IMP","B2","reduced","salt","control","RSC",12.54
"128",128,271753660,"2022-03-23T23:00:00Z","1899-12-31T15:30:13Z","FO",558,"stress",1,1,"C32",244,526,"0",0.536,"0.0",48,"IMP","B2","reduced","salt","control","RSC",12.54
"129",129,271786760,"2022-03-23T23:00:00Z","1899-12-31T15:30:46Z","FO",562,"stress",1,1,"C33",372,870,"0",0.572,"0.0",17,"IMP","B3","reduced","background","control","RBC",20
"130",130,271792700,"2022-03-23T23:00:00Z","1899-12-31T15:30:52Z","FO",563,"stress",1,1,"C33",395,894,"0",0.558,"0.0",17,"IMP","B3","reduced","background","control","RBC",20
"131",131,271799240,"2022-03-23T23:00:00Z","1899-12-31T15:30:59Z","FO",564,"stress",1,1,"C33",118,1192,"0",0.901,"0.0",17,"IMP","B3","reduced","background","control","RBC",20
"132",132,271808060,"2022-03-23T23:00:00Z","1899-12-31T15:31:08Z","FO",565,"stress",1,1,"C33",681,1620,"0",0.58,"0.0",17,"IMP","B3","reduced","background","control","RBC",20
"133",133,271829580,"2022-03-23T23:00:00Z","1899-12-31T15:31:29Z","FO",567,"stress",1,1,"C34",518,982,"0",0.473,"0.0",49,"IMP","B3","reduced","background","control","RBC",13.6
"134",134,271836780,"2022-03-23T23:00:00Z","1899-12-31T15:31:36Z","FO",568,"stress",1,1,"C34",340,1047,"0",0.675,"0.0",49,"IMP","B3","reduced","background","control","RBC",13.6
"135",135,271843560,"2022-03-23T23:00:00Z","1899-12-31T15:31:43Z","FO",569,"stress",1,1,"C34",119,775,"0",0.846,"0.0",49,"IMP","B3","reduced","background","control","RBC",13.6
"136",136,271849460,"2022-03-23T23:00:00Z","1899-12-31T15:31:49Z","FO",570,"stress",1,1,"C34",586,1777,"0",0.67,"0.0",49,"IMP","B3","reduced","background","control","RBC",13.6
"137",137,271870880,"2022-03-23T23:00:00Z","1899-12-31T15:32:10Z","FO",572,"stress",1,1,"C35",366,989,"0",0.63,"0.0",18,"IMP","B3","normal","background","control","NBC",24
"138",138,271878100,"2022-03-23T23:00:00Z","1899-12-31T15:32:18Z","FO",573,"stress",1,1,"C35",423,805,"0",0.475,"0.0",18,"IMP","B3","normal","background","control","NBC",24
"139",140,271902640,"2022-03-23T23:00:00Z","1899-12-31T15:32:42Z","FO",575,"stress",1,1,"C35",103,212,"0",0.514,"0.0",18,"IMP","B3","normal","background","control","NBC",24
"140",141,271922700,"2022-03-23T23:00:00Z","1899-12-31T15:33:02Z","FO",577,"stress",1,1,"C36",335,742,"0",0.549,"0.0",50,"IMP","B3","normal","salt","control","NSC",12.6
